_id.dl_date,_id.dl_pt,_id.dl_cl,dl_count
51,"COD","DFS - Dealsfive",45.0
51,"COD","DFS - Elcotek India Private Limited",62.0
51,"COD","DFS - Fab panda",51.0
51,"COD","DFS - FabionaFashion.com",1.0
51,"COD","DFS - Forever Kids",2.0
51,"COD","DFS - Globalite Retail Pvt Ltd.",52.0
51,"COD","DFS - Hassnar Health",2.0
51,"COD","DFS - Hindware Home Retail",3.0
51,"COD","DFS - Hytrend Online Marketing",3.0
51,"COD","DFS - INDERSONS",2.0
51,"COD","DFS - India Arts Palace",1.0
51,"COD","DFS - Industry Buying",8.0
51,"COD","DFS - JIFSY",11.0
51,"COD","DFS - KPA APPARELS",3.0
51,"COD","DFS - Kamal Rayon Private Limited",1.0
51,"COD","DFS - Magicon Impex Pvt Ltd",89.0
51,"COD","DFS - Mitesh Dubey",1.0
51,"COD","DFS - NV Enterprises",3.0
51,"COD","DFS - Novelty Shop",1.0
51,"COD","DFS - OM SAI AYURVEDA INDAI LIMITED",5.0
51,"COD","DFS - Peeaar Industries",4.0
51,"COD","DFS - Phonebazaar",2.0
51,"COD","DFS - Pinkblueindia",4.0
51,"COD","DFS - Plumgoodness",10.0
51,"COD","DFS - Postbox",2.0
51,"COD","DFS - SURAT FASHION MART",1.0
51,"COD","DFS - Sanjanas Online",1.0
51,"COD","DFS - Shop In",6.0
51,"COD","DFS - Shopnaari",9.0
51,"COD","DFS - Startedge Ventures India Pvt Ltd",3.0
51,"COD","DFS - Style Fiesta",7.0
51,"COD","DFS - TAM International",205.0
51,"COD","DFS - TOLEXO ONLINE PVT LTD",772.0
51,"COD","DFS - Tanishka International",1.0
51,"COD","DFS - The Yellow Door Store",1.0
51,"COD","DFS - This N That",4.0
51,"COD","DFS - Toniq",2.0
51,"COD","DFS - UVMTelemart",28.0
51,"COD","DFS - Voonik Technologies Private Limited",22.0
51,"COD","DFS - Vox Pox",90.0
51,"COD","DFS - WYO",29.0
51,"COD","DFS - Wanna Party",3.0
51,"COD","DFS - stynch",1.0
51,"COD","DFS- Allsilks Designers Pvt Ltd",1.0
51,"COD","Dailyobjects",108.0
51,"COD","Dogspot",72.0
51,"COD","Dressmyphone",4.0
51,"COD","EBUY CITI",1.0
51,"COD","Erd Infotech",2.0
51,"COD","Ethnickart",1.0
51,"COD","Everstylish",18.0
51,"COD","FASHION BUCKET",1.0
51,"COD","Faballey",28.0
51,"COD","Fabindia Overseas",2.0
51,"COD","Fashionara",403.0
51,"COD","Flipkart",3413.0
51,"COD","Gadget Stuff",39.0
51,"COD","GamesInc",12.0
51,"COD","Gaurav Enterprise",2.0
51,"COD","Getitbazaar",3460.0
51,"COD","Gourmet Co Retail Pvt. Ltd.",7.0
51,"COD","HAYA CREATIONS",1.0
51,"COD","HUFT",2.0
51,"COD","HealthKart",427.0
51,"COD","HomeShop18",1207.0
51,"COD","HomeShop18-FOS",2678.0
51,"COD","India today",336.0
51,"COD","Indiarush",81.0
51,"COD","Indiatimes",1.0
51,"COD","Infibeam",104.0
51,"COD","Infibeam Vendor",15.0
51,"COD","Integrated Sample & Try Pvt. Ltd",7.0
51,"COD","Jabong",503.0
51,"COD","Just Herbs",1.0
51,"COD","Jyoti Footwear",1.0
51,"COD","Kart Rocket",12.0
51,"COD","Kawachigroup",1.0
51,"COD","Khwaish",4.0
51,"COD","KrishnaPearls",1.0
51,"COD","LAVIDA LUXE LIFESTYLE SOLUTIONS PVT. LTD.",36.0
51,"COD","Laglits",2.0
51,"COD","Latin Quarters",2.0
51,"COD","Letternote",7.0
51,"COD","Lifestyle Megamart",1.0
51,"COD","LimeRoad",1077.0
51,"COD","Live Your Sport",4.0
51,"COD","M/s Atul Udyog",1.0
51,"COD","MPP - STYLEMAKE",5.0
51,"COD","MSM BOX",6.0
51,"COD","MUGHAL CLINIC",3.0
51,"COD","Magickart",1.0
51,"COD","Mirraw COD",96.0
51,"COD","Mulyashop",33.0
51,"COD","My nutra mart",8.0
51,"COD","MyBabyCart",19.0
51,"COD","Myfitfuel",1.0
51,"COD","Myhomesol",1.0
51,"COD","Myntra",1320.0
51,"COD","Naaptol",674.0
51,"COD","NatturaBiocare",5.0
51,"COD","NaturalMantra",26.0
51,"COD","Net Distribution Services Pvt Ltd",4.0
51,"COD","Netakart",14.0
51,"COD","Nlytn",1.0
51,"COD","No Nasties",1.0
51,"COD","NoFat",24.0
51,"COD","Nykaa",162.0
51,"COD","OKS",3.0
51,"COD","OMGGOLD",1.0
51,"COD","OSR Ayurveda Founder (INDIA)",1.0
51,"COD","Palred",198.0
51,"COD","Pavitra Retail Pvt Ltd",1.0
51,"COD","Pearson",3.0
51,"COD","Pelicans&Penguins",20.0
51,"COD","PentaRetailIndia",4.0
51,"COD","PhotoSquare",8.0
51,"COD","Pinkcandycloset",1.0
51,"COD","Postergully",2.0
51,"COD","Posterguy",2.0
51,"COD","Primetex",3.0
51,"COD","Prism",12.0
51,"COD","PureMart",3.0
51,"COD","Purplle",62.0
51,"COD","Quick Service",183.0
51,"COD","RNDHERBALS",1.0
51,"COD","Rediff",293.0
51,"COD","Redwolf",13.0
51,"COD","SGP Design",1.0
51,"COD","SHOPELING",2.0
51,"COD","SHREEJEEJEWELS",1.0
51,"COD","SIMBA CART",48.0
51,"COD","SMOKEFREE ELECTRONIC CIGARETTE PVT LTD",4.0
51,"COD","Saholic",44.0
51,"COD","Satvika bulk",2.0
51,"COD","ShopGreed",2.0
51,"COD","Shopclap",4.0
51,"COD","ShoppersStop",82.0
51,"COD","Shopyourworld",12.0
51,"COD","Shree Traders",2.0
51,"COD","SmartImpressions",1.0
51,"COD","Snapdeal",12436.0
51,"COD","StalkBuyLove",70.0
51,"COD","Star CJ - Vendor",2.0
51,"COD","Star CJ Guj",309.0
51,"COD","StarCJ Punjab",350.0
51,"COD","StarCJ-BOM",265.0
51,"COD","StarCJ-South",275.0
51,"COD","Stringsandme",5.0
51,"COD","StyleTag",78.0
51,"COD","Styledge",18.0
51,"COD","Swiss Gallery Pvt Ltd.",1.0
51,"COD","TheEntertainment",3.0
51,"COD","TheNorthEastStore",4.0
51,"COD","Theblucard",1.0
51,"COD","Totals Solution",17.0
51,"COD","Trikutta Trendy",2.0
51,"COD","TrustPharmacy",1.0
51,"COD","Uniqstop",26.0
51,"COD","UnravelIndia",4.0
51,"COD","Valyoo",5.0
51,"COD","Ventra",1.0
51,"COD","Videocon",84.0
51,"COD","Vishnu Solutions",2.0
51,"COD","Voylla",22.0
51,"COD","WforWoman",6.0
51,"COD","Woodland",56.0
51,"COD","Xtees",10.0
51,"COD","Yepme",2346.0
51,"COD","Zaak9",1.0
51,"COD","Zaap Technologies",1.0
51,"COD","Zivame",197.0
51,"COD","Ziveg",2.0
51,"COD","Zoffio",10.0
51,"COD","Zoffio_Del",25.0
51,"COD","Zoomin",110.0
51,"COD","Zovi",146.0
51,"COD","coke2homeBLR",14.0
51,"COD","crunchyfashion",1.0
51,"COD","elcincoinc",22.0
51,"COD","extraminds",3.0
51,"COD","happy sunshine",1.0
51,"COD","harikrishnaenterprise",1.0
51,"COD","hasbro",11.0
51,"COD","himalaya",5.0
51,"COD","iFlauntmyJewel",1.0
51,"COD","iamgreen",2.0
51,"COD","lebaza.com",3.0
51,"COD","madura",4.0
51,"COD","optic-arts",2.0
51,"COD","p3store.com",3.0
51,"COD","petzy",2.0
51,"COD","planetsuperheroes",5.0
51,"COD","priyankas designs",7.0
51,"COD","sanskritikk",1.0
51,"COD","secretangel",5.0
51,"COD","softwear",1.0
51,"COD","soulflower",5.0
51,"COD","store503",6.0
51,"COD","tennishub",3.0
51,"COD","the beach company",4.0
51,"COD","titan",13.0
51,"COD","zahrajani",2.0
51,"Cash","Askme.com",2.0
51,"Cash","BookMyTrain.com",22.0
51,"Cash","Cheeni Labs Private Limited",29.0
51,"Cash","DFS - Adlabs Entertainment",1.0
51,"Cash","DFS - Netway India Pvt. Ltd.",1.0
51,"Cash","Mirraw",40.0
51,"Cash","Photo Vatika",4.0
51,"Cash","ReleaseMyAd",3.0
51,"Cash","SpiceBox Food Services",18.0
