_id.dl_date,_id.dl_cn,_id.dl_cnc,dl_count
32,"Pune Chandan Nagar","Pune",67.0
32,"Pune Fatima Nagar","Pune",46.0
32,"Pune Hadapsar DC","Pune",194.0
32,"Pune PNQ","Pune",38.0
32,"Pune Pimpri","Pune",37.0
32,"Pune_ Tingrenagar Dc","Pune",70.0
32,"Pune_Aundh_DC","Pune",23.0
32,"Pune_Camp_Dc","Pune",134.0
32,"Pune_Chinchwad DC","Pune",1.0
32,"Pune_Hinjawadi_Dc","Pune",210.0
32,"Pune_Kalewadi DC","Pune",173.0
32,"Pune_Magarpatta","Pune",97.0
32,"Pune_Nigdi DC","Pune",24.0
32,"Pune_Pashan_DC","Pune",39.0
32,"Pune_Sangvi_Dc","Pune",95.0
32,"Pune_Shahunagar DC","Pune",50.0
32,"Pune_Shivajinagar","Pune",51.0
32,"Pune_Warje_Dc","Pune",27.0
32,"RS.Bellary","Bellary",80.0
32,"RS.Davanagere","Davangere",38.0
32,"Raipur_DC","Raipur",50.0
32,"Raipur_Sunder Nagar_DC","Raipur",323.0
32,"Rajamundry_DC","Rajamundry",103.0
32,"Rajkot","Rajkot",180.0
32,"Rampur","Rampur",135.0
32,"Ranchi_1","Ranchi",195.0
32,"Rewa_Dc","Rewa",346.0
32,"Rohtak","Rohtak",78.0
32,"Rourkela","Rourkela",143.0
32,"Rourkela_Koel Nagar","Rourkela",122.0
32,"Rudrapur","Rudrapur",212.0
32,"Salem","Salem",72.0
32,"Samalkha_DC","Delhi NCR",58.0
32,"Sangli_Dc","Sangli",86.0
32,"Satna","Satna",181.0
32,"Shillong","Shillong",728.0
32,"Silvassa_DC","Silvassa",78.0
32,"Solapur_DC","Solapur",117.0
32,"Sonipat","Sonipat",52.0
32,"South Goa","Goa",88.0
32,"Surat","Surat",145.0
32,"Surat_Nanpura_Dc","Surat",164.0
32,"Thanjavur_DC","Tiruchi",71.0
32,"Tiruchi","Tiruchi",114.0
32,"Tirupati","Tirupati",88.0
32,"Tirupur","Tirupur",194.0
32,"Tumkur_Dc","Tumkur",447.0
32,"Udaipur_DC","Udaipur",69.0
32,"Udupi","Mangalore",52.0
32,"Ujjain","Ujjain",246.0
32,"Uppinangady_Dc","Mangalore",213.0
32,"Vadodara","Vadodara",202.0
32,"Vadodara_Karelibaug_DC","Vadodara",216.0
32,"Valsad_DC","Vapi",51.0
32,"Vapi","Vapi",187.0
32,"Varanasi","Varanasi",262.0
32,"Vellore_DC","Vellore",61.0
32,"Vijayawada","Vijayawada",149.0
32,"Vishakhapatnam","Vishakhapatnam",129.0
32,"Vizag _NAD","Vishakhapatnam",46.0
32,"Vizag_Gajuwaka","Vishakhapatnam",170.0
32,"Warangal_DC","Warangal",23.0
32,"ccu_birati","Kolkata",73.0
32,"cuttack","Cuttack",96.0
32,"dhanbad","Dhanbad",177.0
32,"jammu_Central","Jammu",269.0
32,"jamshedpur","Jamshedpur",44.0
32,"shimla","Shimla",149.0
32,"srinagar_central","Srinagar",673.0
32,"srinagar_north","Srinagar",257.0
32,"srinagar_south","Srinagar",388.0
33,"AMD_Maninagar","Ahmedabad",120.0
33,"AMD_Memnagar","Ahmedabad",96.0
33,"AMD_Naroda","Ahmedabad",68.0
33,"AMD_Paldi","Ahmedabad",97.0
33,"AMD_Rakhial","Ahmedabad",91.0
33,"AMD_Satellite","Ahmedabad",95.0
33,"Agra","Agra",265.0
33,"Airport","Chennai",368.0
33,"Ajmer_DC","Ajmer",99.0
33,"Aligarh","Aligarh",192.0
33,"Allahabad","Allahabad",284.0
33,"Ambabadi_DC","Jaipur",106.0
33,"Ambala","Ambala",173.0
33,"Amd_Chandkheda_Dc","Ahmedabad",429.0
33,"Amdavad_Central","Ahmedabad",74.0
33,"Amdavad_East","Ahmedabad",80.0
33,"Amritsar_DC","Amritsar",504.0
33,"Anand_Dc","Anand",180.0
33,"Aurangabad","Aurangabad",662.0
33,"Ayanambakkam","Chennai",234.0
33,"BLR_Central","Bangalore",165.0
33,"Bareilly","Bareilly",174.0
33,"Begumpet HYD","Hyderabad",170.0
33,"Belgaum_Dc","Belgaum",141.0
33,"Bengaluru_Arakere_Dc","Bangalore",172.0
33,"Bengaluru_BTM_Dc","Bangalore",162.0
33,"Bengaluru_Banaswadi_Dc","Bangalore",99.0
33,"Bengaluru_Bellandur","Bangalore",170.0
33,"Bengaluru_East","Bangalore",129.0
33,"Bengaluru_ElectronicCity_Dc","Bangalore",86.0
33,"Bengaluru_HSR_Dc","Bangalore",70.0
33,"Bengaluru_JPNagar_Dc","Bangalore",235.0
33,"Bengaluru_Koramangala_Dc","Bangalore",98.0
33,"Bengaluru_Marathalli_Dc","Bangalore",211.0
33,"Bengaluru_Mathikere_Dc","Bangalore",155.0
33,"Bengaluru_Millers_Dc","Bangalore",146.0
33,"Bengaluru_Nandinilayout_Dc","Bangalore",106.0
33,"Bengaluru_RTNagar_Dc","Bangalore",171.0
33,"Bengaluru_Rajajinagar_Dc","Bangalore",148.0
33,"Bengaluru_Richmond_Dc","Bangalore",110.0
33,"Bengaluru_Singasandra","Bangalore",328.0
33,"Bengaluru_South","Bangalore",385.0
33,"Bengaluru_Tippasandra_Dc","Bangalore",169.0
33,"Bengaluru_Vijayanagar_Dc","Bangalore",138.0
33,"Bengaluru_West","Bangalore",160.0
33,"Bengaluru_Whitefield_Dc","Bangalore",197.0
33,"Bengaluru_Wilson Garden_Dc","Bangalore",89.0
33,"Bengaluru_Yelahanka_Dc","Bangalore",264.0
33,"Berhampur_DC","Behrampur",159.0
33,"Bhatinda","Bhatinda",154.0
33,"Bhavnagar_Dc","Bhavnagar",153.0
33,"Bhiwandi_RPC","Mumbai",1.0
33,"Bhopal MP Nagar","Bhopal",145.0
33,"Bhopal_Dig Banglow","Bhopal",75.0
33,"Bhopal_Kartar Arcade","Bhopal",154.0
33,"Bhopal_Kolar Mandakni","Bhopal",44.0
33,"Bhopal_Old City","Bhopal",171.0
33,"Bhubaneshwar_1","Bhubaneshwar",429.0
33,"Bhubaneshwar_Nayapalli","Bhubaneshwar",355.0
33,"Bhubaneswar_Patia","Bhubaneshwar",253.0
33,"Bidar","Gulbarga",325.0
33,"Bikaner_DC","Bikaner",155.0
33,"Blr_Ganabharathi","Bangalore",224.0
33,"Bokaro","Bokaro",186.0
33,"CCU_Behala","Kolkata",139.0
33,"CCU_Beliaghata_DPC","Kolkata",1.0
33,"CCU_Central","Kolkata",124.0
33,"CCU_DumDum","Kolkata",110.0
33,"CCU_DumDum_DPC","Kolkata",2.0
33,"CCU_Dunlop","Kolkata",69.0
33,"CCU_Entally","Kolkata",267.0
33,"CCU_Garia","Kolkata",137.0
33,"CCU_Jadavpur","Kolkata",228.0
