_id.dl_date,_id.dl_oc,_id.dl_occ,dl_count
34,"Bokaro (Jharkhand)","Bokaro",4.0
34,"CCU_DumDum_DPC (West Bengal)","Kolkata",123.0
34,"CCU_Gopalpur_PC (West Bengal)","Kolkata",2017.0
34,"CJB (Tamil Nadu)","Coimbatore",90.0
34,"Central Goa (Goa)","Goa",4.0
34,"Chandigarh (Chandigarh)","Chandigarh",1.0
34,"Chandigarh_Hub (Chandigarh)","Chandigarh",372.0
34,"Chennai_Alandur _Pc (Tamil Nadu)","Chennai",1019.0
34,"Chennai_AshokNagar_DC (Tamil Nadu)","Chennai",68.0
34,"Chennai_Avadi (Tamil Nadu)","Chennai",1.0
34,"Chennai_Chrompet_DPC (Tamil Nadu)","Chennai",2.0
34,"Chennai_Egmore_DPC (Tamil Nadu)","Chennai",2.0
34,"Chennai_Madhavaram_DC (Tamil Nadu)","Chennai",22.0
34,"Chennai_Madhavaram_DPC (Tamil Nadu)","Chennai",1.0
34,"Chennai_Mylapore (Tamil Nadu)","Chennai",11.0
34,"Chennai_Perungudi_DPC (Tamil Nadu)","Chennai",1.0
34,"Chennai_Poonamallee (Tamil Nadu)","Chennai",13.0
34,"Chennai_Porur_DC (Tamil Nadu)","Chennai",5.0
34,"Chennai_Redhills (Tamil Nadu)","Chennai",4.0
34,"Cjb_West_Dc (Tamil Nadu)","Coimbatore",25.0
34,"Dehradun (Uttarakhand)","Dehradun",110.0
34,"Del_B_RPC (Delhi)","Delhi NCR",2026.0
34,"Del_Okhla_PC (Delhi)","Delhi NCR",14284.0
34,"Delhi_S_PC (Delhi)","Delhi NCR",13285.0
34,"Dhanbad_Hirapur (Jharkhand)","Dhanbad",18.0
34,"Dharwad_Dc (Karnataka)","Hubli",5.0
34,"Erode (Tamil Nadu)","Erode",55.0
34,"GGN_Gateway (Haryana)","Delhi NCR",7459.0
34,"GZB_Mohan_Nagar_DPC (Uttar Pradesh)","Delhi NCR",148.0
34,"Goa_Ponda_Dc (Goa)","Goa",5.0
34,"Gorakhpur (Uttar Pradesh)","Gorakhpur",2.0
34,"Gulbarga (Karnataka)","Gulbarga",19.0
34,"Guwahati_Chandmari (Assam)","Guwahati",1.0
34,"Guwahati_Hub (Assam)","Guwahati",1.0
34,"Guwahati_North (Assam)","Guwahati",5.0
34,"Guwahati_West (Assam)","Guwahati",4.0
34,"Gwalior_DC (Madhya Pradesh)","Gwalior",660.0
34,"HBR Layout PC (Karnataka)","Bangalore",4.0
34,"HQ (Haryana)","Delhi NCR",8.0
34,"HS18 Daruhera Implant (Delhi)","Delhi NCR",1161.0
34,"Haridwar (Uttarakhand)","Haridwar",3.0
34,"Hisar (Haryana)","Hisar",44.0
34,"Hosur_Dc (Tamil Nadu)","Hosur",88.0
34,"Howrah_Shibpur (West Bengal)","Howrah",54.0
34,"Hubli_Dc (Karnataka)","Hubli",38.0
34,"Hyd-Ecil (Andhra Pradesh)","Hyderabad",5.0
34,"Hyd_Abids_Dc (Andhra Pradesh)","Hyderabad",43.0
34,"Hyd_Attapur_Dc (Andhra Pradesh)","Hyderabad",4.0
34,"Hyd_Balanagar (Andhra Pradesh)","Hyderabad",9.0
34,"Hyd_Banjarahills_DC (Andhra Pradesh)","Hyderabad",15.0
34,"Hyd_BkGuda_Dc (Andhra Pradesh)","Hyderabad",6.0
34,"Hyd_Chandanagar_Dc (Andhra Pradesh)","Hyderabad",4.0
34,"Hyd_East (Andhra Pradesh)","Hyderabad",169.0
34,"Hyd_Gachibowli (Andhra Pradesh)","Hyderabad",2.0
34,"Hyd_Hub (Andhra Pradesh)","Hyderabad",2650.0
34,"Hyd_Jeedimetla_Dc (Andhra Pradesh)","Hyderabad",10.0
34,"Hyd_Kavadiguda_Dc (Andhra Pradesh)","Hyderabad",2.0
34,"Hyd_LB-Nagar_Dc (Andhra Pradesh)","Hyderabad",5.0
34,"Hyd_Madhapur (Andhra Pradesh)","Hyderabad",20.0
34,"Hyd_Miyapur_Dc (Andhra Pradesh)","Hyderabad",10.0
34,"Hyd_North (Andhra Pradesh)","Hyderabad",34.0
34,"Hyd_Sayeedabad_Dc (Andhra Pradesh)","Hyderabad",13.0
34,"Hyd_Tolichowki_Dc (Andhra Pradesh)","Hyderabad",2.0
34,"Hyd_Trimulgherry_Dc (Andhra Pradesh)","Hyderabad",3.0
34,"Hyd_Uppal_Dc (Andhra Pradesh)","Hyderabad",1.0
34,"Indore_Las (Madhya Pradesh)","Indore",362.0
34,"Indore_Lasudia_DPC (Madhya Pradesh)","Indore",284.0
34,"Jabalpur (Madhya Pradesh)","Jabalpur",5.0
34,"Jaipur_Hub (Rajasthan)","Jaipur",389.0
34,"Jalandhar_DC (Punjab)","Jalandhar",188.0
34,"Jalandhar_Sodal Road (Punjab)","Jalandhar",384.0
34,"Jammu_SubhashNagar_DC (Jammu & Kashmir)","Jammu",87.0
34,"Jamnagar_Dc (Gujarat)","Jamnagar",1.0
34,"Jodhpur (Rajasthan)","Jodhpur",141.0
34,"Kanpur (Uttar Pradesh)","Kanpur",242.0
34,"Karnal (Haryana)","Karnal",126.0
34,"Karur (Tamil Nadu)","Karur",18.0
34,"Kirtinagar_PC (Delhi)","Delhi NCR",11850.0
34,"Kolhapur_DC (Maharashtra)","Kolhapur",59.0
34,"Kota (Rajasthan)","Kota",48.0
34,"LowerParel_CP (Maharashtra)","Mumbai",2.0
34,"Lucknow (Uttar Pradesh)","Lucknow",171.0
